"file","year","nc","nr","bands_src","threshold","frac_total","frac_interior"
"bcc73_022_thumb.jpg","1972",1250,1250,3,24,0.000663,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,32,0.032433,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,48,0.037532,0
"bcc73_022_thumb.jpg","1972",1250,1250,3,64,0.038411,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,0,0,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,4,0,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,8,0,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,12,0,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,16,0,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,20,1e-05,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,24,0.000913,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,32,0.032393,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,48,0.037261,0
"bcc73_023_thumb.jpg","1972",1250,1250,3,64,0.038082,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,0,4.8e-05,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,4,0.0024,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,8,0.002428,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,12,0.003802,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,16,0.014877,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,20,0.02834,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,24,0.033309,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,32,0.036016,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,48,0.036941,0
"bcc74_038_thumb.jpg","1972",1250,1250,3,64,0.037432,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,0,0.002244,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,4,0.002385,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,8,0.0024,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,12,0.0024,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,16,0.0024,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,20,0.0024,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,24,0.0024,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,32,0.002401,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,48,0.037617,0
"bc5674_253_thumb.jpg","1975",1250,1250,1,64,0.056835,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,0,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,4,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,8,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,12,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,16,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,20,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,24,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,32,0,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,48,0.034721,0
"bc5674_254_thumb.jpg","1975",1250,1250,1,64,0.054598,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,0,0.002112,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,4,0.002306,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,8,0.002323,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,12,0.002337,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,16,0.002344,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,20,0.002354,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,24,0.002362,0
