airp_id,arm,run_id,stratum,holdout,scale_n,focal_length,flying_height,relief_coarse,bearing,ref_ok,ref_agl,ref_area,ref_elev,ref_sd,ref_range,ref_grad,ref_n,nominal_area
978009,native,s7_3,scale_fine/relief_q3,TRUE,15000,305,6401,153.63,NA,TRUE,5356.32,16117074,1044.614,133.057,557.83,0.0737198,17838,11758041
989692,native,s5_8,scale_fine/relief_q1,TRUE,10000,305,3810,60.32,265.59,TRUE,3000.21,5056555,809.795,17.522,87.4,0.0179111,5451,5225796
999257,native,s6_8,scale_fine/relief_q2,FALSE,10000,305,4115,74.15,88.3,TRUE,2923.22,4800374,1191.785,20.74,126.77,0.0264904,5167,5225796
1060091,native,s7_9,scale_fine/relief_q3,TRUE,15000,305,5791,199.78,275.96,TRUE,4282.28,10301543,1508.701,125.557,574.49,0.129415,11374,11758041
1115580,native,s9_5,scale_mid/relief_q1,FALSE,20000,305,6553,33.63,94.17,TRUE,6503.9,23762935,49.096,46.269,230.12,0.0229462,26037,20903184
1126204,native,s9_6,scale_mid/relief_q1,FALSE,16000,305,5593,53.58,85.4,TRUE,4871.28,13330289,721.717,48.654,264.91,0.0245109,14026,13378038
1151033,native,s10_2,scale_mid/relief_q2,FALSE,25000,305,8230,99.64,174.84,TRUE,7379.91,30595330,850.138,99.739,373.68,0.0487426,32254,32661225
1151751,native,s6_1,scale_fine/relief_q2,TRUE,10000,305,3658,125.08,355.61,TRUE,2792.68,4381232,865.591,86.181,409.71,0.040067,4855,5225796
1153933,native,s9_3,scale_mid/relief_q1,FALSE,20000,305,6401,27.79,92.41,TRUE,6354.43,22683277,46.572,28.725,183.51,0.00680622,24654,20903184
1154997,native,s8_3,scale_fine/relief_q4,FALSE,10000,305,1981,261.02,247.32,FALSE,NA,5225796,391.708,170.859,684.56,0.014947,5505,5225796
1155474,native,s7_10,scale_fine/relief_q3,FALSE,10000,153,2134,192.43,60.91,TRUE,1269.65,3598640,868.579,164.853,623.8,0.147304,3989,5225796
